loss,id
1524.9418,4
1910.6772,6
10035.3,9
5900.4214,12
804.7329,15
2317.917,17
2056.689,21
859.454,28
2467.1057,32
3147.2913,43
2790.896,46
954.20496,50
1209.443,54
1937.2595,62
2242.4023,70
4892.2827,71
2075.2961,75
2147.953,77
2641.4988,81
2423.946,83
1959.5398,87
1612.5881,97
1171.9221,103
1114.4885,119
1905.5286,120
978.1797,127
4169.023,138
3981.354,141
696.24426,148
2570.0073,150
2222.991,151
1593.1674,158
5400.7153,160
2765.3518,165
3868.4875,168
3904.9512,169
2743.6885,177
2927.9463,178
2110.2466,184
9411.818,194
1817.3624,198
3739.8813,203
2547.8809,211
1253.2533,217
1351.2415,219
5037.75,221
1821.0452,227
1586.1722,230
2141.4304,235
710.3186,240
3056.7117,243
7407.353,249
2871.07,253
1475.0692,258
1722.1335,261
3428.7373,263
2517.6587,264
4253.159,265
1819.4711,268
1079.3081,271
5724.7935,274
711.4852,275
1481.9196,279
1635.8373,282
3157.6597,286
1093.3733,288
2070.7905,294
1005.3013,296
1346.736,297
818.3205,300
8057.83,303
1068.9288,314
4547.892,315
2587.0906,321
4075.791,323
3450.7686,330
1912.4202,341
4223.5557,342
1523.0568,352
3213.9421,353
4674.3364,360
2215.298,361
3838.1777,362
1360.5278,366
3630.3208,372
2674.6987,376
2372.6448,377
1580.5343,379
3984.5132,380
1823.1279,387
2057.5671,392
10919.927,394
1501.7974,395
1515.153,397
6276.127,407
9036.669,411
2594.627,416
1569.3193,417
3911.0747,419
5609.25,428
1733.7739,431
7956.052,436
1531.5906,438
6971.093,445
7138.302,446
1252.5791,455
1345.8312,456
908.0874,461
1920.6162,463
3892.408,464
1787.6616,466
1345.6727,467
1227.3033,470
1474.2905,475
3230.0376,482
3523.1677,490
1849.3599,496
4240.221,497
2865.1157,508
1892.7075,510
1880.2314,512
3625.7427,513
1825.518,523
4915.315,531
2338.8152,532
1364.4834,533
1149.0446,537
4632.651,544
2540.387,547
8013.908,556
1310.7178,565
1220.553,566
1412.2754,571
1732.2374,573
930.3989,574
1951.1882,581
1984.5676,585
1996.227,589
1635.7017,597
3696.7034,601
1717.7867,602
1560.0883,613
1510.1125,616
2227.56,619
2193.0112,622
1981.6187,623
1578.9193,629
1523.5786,634
924.4193,638
1098.5165,642
2017.456,643
970.74695,645
6376.813,648
1217.2457,652
1062.5824,664
2239.354,666
889.1373,672
2110.3215,676
